id,App,sizeInMB,price,RatingNum,Rating,ver,Category,sup_devices.num,lang.num,category_Book,category_Business,category_Catalogs,category_Education,category_Entertainment,category_Finance,category_Food & Drink,category_Games,category_Health & Fitness,category_Lifestyle,category_Medical,category_Music,category_Navigation,category_News,category_Photo & Video,category_Productivity,category_Reference,category_Shopping,category_Social Networking,category_Sports,category_Travel,category_Utilities,category_Weather,Type,category_Book,category_Business,category_Catalogs,category_Education,category_Entertainment,category_Finance,category_Food & Drink,category_Games,category_Health & Fitness,category_Lifestyle,category_Medical,category_Music,category_Navigation,category_News,category_Photo & Video,category_Productivity,category_Reference,category_Shopping,category_Social Networking,category_Sports,category_Travel,category_Utilities,category_Weather
299515267,219,34.713,0.0,109349,3.5,630.0,Food & Drink,37,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299853944,6833,109.810,0.0,2229,3.5,6210.0,News,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
299949744,3293,53.865,1.99,14970,3.5,2420.0,Navigation,37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
300048137,141,173.513,0.0,144214,3.5,10410.0,Weather,37,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
300238550,3214,155.346,0.0,232940,4.0,5900.0,Finance,37,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300255638,100,93.563,0.0,48407,3.0,5160.0,News,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
300265786,4330,51.583,0.99,5531,3.5,430.0,Utilities,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
300590611,3795,47.832,1.99,3393,4.0,5100.0,Education,43,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300704847,4824,22.827,0.0,65016,3.5,3820.0,Utilities,38,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
301387274,3954,138.562,0.99,187529,4.0,14820.0,Entertainment,43,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301521403,3543,133.865,0.0,33969,3.5,5410.0,Health & Fitness,37,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301724680,951,268.216,0.0,48822,3.5,8500.0,Finance,37,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302049354,3837,63.605,1.99,59155,4.5,3200.0,Games,40,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302584613,2742,161.884,0.0,252076,3.5,5110.0,Book,37,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303058767,3006,39.760,1.99,4913,4.0,3320.0,Games,37,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303191318,6648,117.193,0.0,1744,3.5,1010460.0,Finance,37,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303337299,5878,53.219,0.99,16567,4.5,229130.0,Games,43,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
303849934,501,180.203,0.0,187315,2.0,1705150.0,Games,37,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304731501,5195,21.158,2.99,4781,4.5,3920.0,Music,37,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
304770340,4598,63.096,3.99,94,4.5,110100.0,Games,37,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304871603,1026,26.832,0.99,29554,4.0,3610.0,Photo & Video,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
304871622,6094,26.667,0.99,32988,4.0,170.0,Games,47,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
304878510,4639,127.066,0.0,373519,3.5,63510.0,Social Networking,37,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
305343404,5580,144.552,0.0,334293,4.0,860.0,Social Networking,37,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
305557780,6195,25.815,1.99,2302,3.5,510.0,Photo & Video,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
